workoutId,workoutName,metValue
1,(SUP)서핑,6
2,(윈드)서핑,5
3,108배,2
4,15초인터벌트레이닝!,8.8
5,AB 롤아웃,8
6,BMX 자전거타기,8.5
7,EMS트레이닝,7
8,TRX 운동,7
9,ㅁㅁㅁ,11
10,"건강증진 비디오 게임 격렬하게(예, 위피트 등)",7.2
11,"건강증진 비디오 게임 보통으로(예, 위피트 등)",3.8
12,걷기,4.5
13,검도,6
14,게이트볼,3
15,계단내려가기,3
16,계단오르기,8
17,고블릿 스쿼트,5.5
18,고양이자세,3.5
19,고전무용,6
20,고정식자전거(격렬하게),10.5
21,고정식자전거타기(101~160 Watts),8.8
22,고정식자전거타기(161~200 Watts),11
23,고정식자전거타기(201~270 Watts),14
24,고정식자전거타기(30~50 Watts),3.5
25,고정식자전거타기(51~89 Watts),4.8
26,고정식자전거타기(90~100 Watts),6.8
27,고정식자전거타기(보통으로),7
28,고정식자전거타기(약하게),5.5
29,골프,4.8
30,공중걷기,3.5
31,국궁,4.3
32,국민체조,3.5
33,국선도,4.5
34,권투펀칭,6
35,근력운동,8
36,근력운동(전신),5.5
37,기체조,4.5
38,나디소다나 요가,2
39,낚시,3
40,난타,3.8
41,노르딕워킹,6
42,농구슈팅 연습,4.5
43,농구시합,8
44,누워서 걷기,3.5
45,느리게걷기,2.9
46,니킥,5.5
47,다이어트 댄스,4.5
48,다트,2.5
49,달리기,7
50,달리기/걷기,6
51,당구,2.5
52,대청소,3
53,댄스(가볍게),4.5
54,댄스(고강도),7
55,댄스스포츠,5.5
56,덤벨 바디 로테이션,5
57,덤벨 숄더프레스,5.5
58,덤벨 프레스,5
59,덤벨 플라이,5.5
60,덩키킥,7
61,데드 리프트,5.5
62,뒤로 걷기,3
63,등산,7
64,등허리지압기(야외운동기구),2.5
65,디스코 댄스,7.8
66,딥다라인 댄스,3
67,딥스,5.5
68,뛰기,7
69,라인댄스,7.8
70,라켓볼 시합,10
71,라켓볼연습,7
72,랫플다운,4
73,런닝,7
74,런닝머신(걷기),4.5
75,런닝머신(달리기),9
76,런지(가볍게),2.8
77,런지(격렬하게),8
78,런지(보통으로),3.8
79,레그 레이즈,5
80,레그 레이즈,3.4
81,레그 익스텐션,5
82,레그 컬,5
83,레그 킥 백,5
84,레그 프레스,5
85,레터럴 레이즈,5
86,레프팅,5
87,렛 풀 다운,5
88,렛풀다운,5
89,로드바이크,8.5
90,로드자전거(중강도),8
91,로우,5
92,로프운동,6
93,루마니안 데드리프트,5
94,리버스 컬,5
95,리어델트 머신,5
96,마라톤,9
97,마운틴 클라이머,7
98,마운팅클라이밍,7
99,마이마운틴,5.5
100,맨발걷기,4.5
101,맨손 줄넘기,7
102,모던댄스,4.8
103,모래주머니 차고 걷기,6.8
104,바벨 숄더프레스,5.5
105,바벨 스쿼트,6
106,박스점프,5.5
107,발레(격렬하게),6.8
108,발레(일반적인),5
109,방송댄스,7
110,배구시합,8
111,배구연습(일반적인),4
112,배드민턴 랠리,4.5
113,배드민턴 시합,7
114,백 스쿼트,6
115,백 익스텐션,3.5
116,밸리댄스,4.5
117,버드독,3.8
118,버티기,1
119,버피테스트,83
120,버피테스트,7
121,번지피지오,5
122,벤치 프레스,5
123,벤치딥스,3
124,벤트 오버 레터럴 레이즈,5.5
125,벤트 오버 바벨 로우,5.5
126,벽 스쿼트,5
127,보디빌딩(가볍게),3.5
128,보디빌딩(격렬하게),6
129,보디빌딩(보통으로),5
130,복근운동(가볍게),2.8
131,복근운동(격렬하게),8
132,복근운동(보통으로),3.8
133,복싱,7.8
134,볼륨댄스,5.5
135,볼링,3
136,브릿지,3.5
137,비치발리볼,8
138,빠르게 걷기,6
139,사이드 런지,5.5
140,사이드 레그레이즈,4
141,사이드 레터럴 레이즈,5
142,사이드 밴드,3.5
143,사이드 크런치,4
144,사이드 플랭크,3.8
145,사이클론,7
146,산악mtB,8
147,산악자전거 시합,16
148,산악자전거(격렬하게),14
149,산악자전거(보통으로),8.5
150,산책,4
151,산행,4
152,살사댄스,4.5
153,상체 근력운동,5.5
154,새천년체조,3.5
155,서키트 트레이닝(격렬하게),8
156,서키트 트레이닝(보통으로),4.3
157,세라밴드,3.5
158,세차,3
159,속보,6
160,수리야 나마스까 요가,3.3
161,수상스키,6
162,수영(IM),8
163,수영(배영),8
164,수영(자유영),6.1
165,수영(접영),11
166,수영(평영),5.3
167,수중 걷기,3.5
168,수중 에어로빅,4
169,스케이팅,7
170,스케이팅,7
171,스쿠버 다이빙,6
172,스쿼시,12
173,스쿼트,5.5
174,스쿼트 덤벨 프레스,7
175,스크린골프,4
176,스키,6
177,스키(가볍게),5
178,스키머신(보통으로),6.8
179,스탠딩 카프 레이즈,5
180,스텝밀,7
181,스텝박스,5.5
182,스텝퍼,5
183,스트레칭(가볍게),2.5
184,스티프 레그 데드리프트,8
185,스포츠댄스,5.5
186,스포츠클라이밍,7
187,스플릿 스쿼트,5
188,스피닝,9
189,슬로우버피(일반적인),5.5
190,슬릭부스트,7
191,승마(빠르게),5.8
192,승마(천천히),3.8
193,승마운동기구,5
194,시티드 니업,5
195,시티드 로우,5
196,시티드로우,4
197,실내자전거타기,7
198,실내자전거타기(약하게),5.5
199,싸이클,7
200,싸이클론,7
201,씨름,6
202,아령들기,5.5
203,아쉬탕가 요가,5
204,아이스하키,8
205,아쿠아로빅,4
206,악력기 운동,1.3
207,앉아서 다리들기,2.5
208,암벽등반,11
209,암워킹,6
210,암풀다운,4
211,야구 캐치볼,2.5
212,야구피칭,6
213,양팔벌려 제자리 뛰기(PT체조),3
214,양팔줄당기기(야외운동기구),2.5
215,어시스트 풀업,5
216,에어로빅,6
217,에어로빅(고강도),7.3
218,에어로빅(저강도),5
219,에어로빅(중강도),6.5
220,와이드 스쿼트,5.5
221,와일드 런지,5.5
222,요가,2.5
223,운동장 걷기,4.5
224,워킹,4.5
225,워킹런지,5.5
226,원 암 덤벨로우,5
227,월볼샷,6
228,웨이트운동(가볍게) - 전신,3.5
229,웨이트운동(격렬하게) - 전신,6
230,웨이트운동(보통으로) - 전신,5
231,윗몸일으키기(가볍게),2.8
232,윗몸일으키기(격렬하게),8
233,윗몸일으키기(보통으로),3.8
234,유도,10
235,유연체조,3.5
236,음파진동기,2.5
237,이두 컬,5
238,이클립스,7
239,인라인스케이트,5
240,인클라인 벤치 프레스,5
241,인터벌 런닝,8
242,일립티컬,6
243,자유수영,6
244,자전거타기,7
245,재즈댄스,4.8
246,재즈사이즈,6
247,저항성운동(가볍게) - 전신,3.5
248,저항성운동(격렬하게) - 전신,6
249,저항성운동(보통으로) - 전신,5
250,점프 스쿼트,6
251,점핑운동(경쟁적인),4.5
252,점핑운동(레크레이션적인),3.5
253,정구 단식경기(일반적인),7
254,정구 복식경기,5
255,제기차기,3
256,제자리 걷기,2
257,제자리 걷기,2
258,제자리뛰기,5.5
259,조깅,7
260,조정(로잉머신),4.8
261,족구,5.5
262,"주짓수_시합, 격렬하게",10.3
263,"주짓수_훈련, 연습",5.3
264,줄넘기(빠르게),9
265,줄넘기(천천히),8
266,줌바댄스,5
267,짐볼운동,3.8
268,철봉매달리기,3.8
269,체스트 프레스,5
270,축구 프리킥 차기,7
271,축구시합,10
272,축구연습,7
273,"캠프 단체훈련(예, 해병대 캠프 등)",5
274,캠핑,2.5
275,커브스 30분 여성 순환운동,3.5
276,컨벤셔널 데드리프트,8
277,케이블 크로스 오버,5
278,케틀벨,5.5
279,코어운동,4.5
280,크런치(가볍게),3
281,크런치(격렬하게),8
282,크런치(보통으로),5
283,크로스 크런치,4.5
284,크로스 핏,8
285,킥 백,5
286,킥복싱,5
287,킥복싱,10
288,타바타 운동,8
289,타바타운동,9
290,타이치,4
291,탁구랠리,4
292,탁구시합,5
293,태권도,10
294,태극권,4
295,태보,7
296,탱고,5.5
297,턱걸이(가볍게),3
298,턱걸이(격렬하게),8
299,턱걸이(보통으로),5
300,테니스 단식경기,7
301,테니스 복식경기,5
302,트라이셉스 익스텐션,5
303,트라이셉스 푸시 다운,5
304,트래킹,5
305,트랙걷기,4.5
306,트램폴린(경쟁적인),4.5
307,트램폴린(레크레이션적인),3.5
308,트위스트 댄스,4.8
309,트위스트 런,5
310,파워요가,4
311,파워워킹,6
312,파크골프,4.3
313,팔굽혀매달리기,5
314,팔굽혀펴기(가볍게),3
315,팔굽혀펴기(격렬하게),8
316,팔굽혀펴기(보통으로),5
317,팔돌리기(야외운동기구),2.5
318,패들보드,6
319,펙덱 플라이,5.5
320,펜싱,6
321,평행봉,5.5
322,포크댄스,7.8
323,폴댄스,5.5
324,폼롤러,3
325,푸쉬업(가볍게),3
326,푸쉬업(격렬하게),8
327,푸쉬업(보통으로),5
328,풀 스쿼트,6
329,풀업(가볍게) - 상지(어깨),2.8
330,풀업(격렬하게) - 상지(어깨),8
331,풀업(보통으로) - 상지(어깨),3.8
332,풀업(턱걸이),5
333,풋살,8
334,프론트 레이즈,5
335,프론트 풀다운,4
336,프롭테라피,3.8
337,프리다이빙,7
338,프리스비 얼티메이트,8
339,플라멩고,4.5
340,플라잉 요가,4
341,플랭크,3.8
342,플로터킥,5
343,픽시자전거,8
344,필라테스,3
345,필라테스(기구),5
346,하이킹,6
347,하체 근력운동,5
348,하타 요가,2.5
349,하프마라톤,9
350,할로우 보디홀드,3
351,해머 컬,5
352,행잉 레그레이즈,10
353,허리돌리기(야외운동기구),2.5
354,헬스(가볍게),5
355,헬스(격렬하게),7.8
356,헬스(보통으로),5.5
357,홈트레이닝-유산소운동,7
358,훌라후프,5.5
359,훌라후프,4
360,힙 쓰러스트,6
361,힙 어브덕션,5
